rank,channel_name,subscribers,total_views,category,channel_title,uploads,country,country_code,channel_type,views_rank,country_rank,type_rank,views_last_30d,est_monthly_earnings_low,est_monthly_earnings_high,est_yearly_earnings_low,est_yearly_earnings_high,subs_gained_last_30d,created_year,created_month,created_date,avg_views_per_video,est_monthly_earnings_mid,channel_age_years,views_per_subscriber,views_30d_pct_of_total,sub_growth_rate_30d,follower_tier,engagement_proxy,posting_intensity,recent_views_momentum,subscriber_momentum,momentum_score,avg_views_per_30d,earnings_per_1k_views,consistency_score,marketing_category,creator_fit_score,awareness_score,engagement_suitability_score,flag_missing_30d_data,flag_low_upload_volume,flag_negative_growth,flag_earnings_missing,flag_very_high_uploads,risk_flag_count
101,PowerKids TV,36500000,18961241905.0,Film & Animation,PowerKids TV,5621,,,Film,139.0,1.0,6.0,318702000.0,79700.0,1300000.0,956100.0,15300000.0,600000.0,2014.0,Aug,6.0,3373286.0,689850.0,9.0,519.49,1.681,1.6438,macro,519.49,624.6,1.681,1.6438,74.9,318702000.0,2.16,82.0,Film & Media,76.2,87.6,62.4,False,False,False,False,False,0
102,YouTube,36300000,3010784935.0,News & Politics,YouTube,744,United States,US,Entertainment,2860.0,32.0,5.0,21103000.0,5300.0,84400.0,63300.0,1000000.0,300000.0,1970.0,Jan,1.0,4046754.0,44850.0,53.0,82.94,0.701,0.8264,macro,82.94,14.0,0.701,0.8264,47.7,21103000.0,2.13,68.4,Entertainment,31.1,48.9,33.2,False,False,False,False,False,0
104,Ozuna,36200000,23355801606.0,Music,Ozuna,196,,,Music,87.0,2.0,36.0,169242000.0,42300.0,677000.0,507700.0,8100000.0,100000.0,2016.0,Mar,24.0,119162253.0,359650.0,7.0,645.19,0.725,0.2762,macro,645.19,28.0,0.725,0.2762,31.0,169242000.0,2.13,55.9,Music,38.5,77.7,57.7,False,False,False,False,False,0
105,MrBeast Gaming,36100000,6331332547.0,Gaming,MrBeastGaming,5,,,Comedy,4057305.0,,4880.0,32.0,0.01,0.13,0.1,2.0,1.0,2011.0,Feb,26.0,1266266509.0,0.0,12.0,175.38,0.0,0.0,macro,175.38,0.4,0.0,0.0,3.6,32.0,0.0,56.9,Comedy,12.8,45.7,35.9,False,True,False,True,False,2
106,La Granja de ZenÃ¯Â¿Â½,35700000,27118354077.0,Music,La Granja de ZenÃ¯Â¿Â½,654,Argentina,AR,Music,58.0,2.0,37.0,302071000.0,75500.0,1200000.0,906200.0,14500000.0,400000.0,2013.0,Jun,6.0,41465373.0,637750.0,10.0,759.62,1.114,1.1204,macro,759.62,65.4,1.114,1.1204,60.9,302071000.0,2.11,66.9,Music,59.5,83.9,73.7,False,False,False,False,False,0
107,Saregama Music,35500000,15657673422.0,Entertainment,Saregama Music,7566,India,IN,Music,199.0,27.0,38.0,533793000.0,133400.0,2100000.0,1600000.0,25600000.0,900000.0,2013.0,Jan,4.0,2069478.0,1116700.0,10.0,441.06,3.409,2.5352,macro,441.06,756.6,3.409,2.5352,87.2,533793000.0,2.09,85.0,Music,78.8,87.4,59.3,False,False,False,False,False,0
108,IndiaTV,35500000,16105023749.0,News & Politics,IndiaTV,273255,India,IN,News,185.0,27.0,3.0,290847000.0,72700.0,1200000.0,872500.0,14000000.0,600000.0,2006.0,Aug,26.0,58938.0,636350.0,17.0,453.66,1.806,1.6901,macro,453.66,16073.8,1.806,1.6901,76.4,290847000.0,2.19,99.7,News & Current Affairs,82.0,87.9,54.9,False,False,False,False,True,1
109,T-Series Bollywood Classics,35400000,22637783517.0,Music,T-Series Bollywood Classics,2010,India,IN,Music,94.0,28.0,39.0,331474000.0,82900.0,1300000.0,994400.0,15900000.0,500000.0,2012.0,Apr,2.0,11262579.0,691450.0,11.0,639.49,1.464,1.4124,macro,639.49,182.7,1.464,1.4124,70.6,331474000.0,2.09,78.4,Music,72.3,86.6,72.1,False,False,False,False,False,0
110,Total Gaming,35400000,5556364230.0,Gaming,totalgaming,1,,,Autos,4056447.0,,3902.0,53.0,0.01,0.21,0.16,3.0,2.0,2006.0,Jul,15.0,5556364230.0,0.0,17.0,156.96,0.0,0.0,macro,156.96,0.1,0.0,0.0,3.6,53.0,0.0,61.8,Autos & Vehicles,13.4,43.6,37.7,False,True,False,True,False,2
111,Markiplier,35200000,20297931219.0,Gaming,Markiplier,5490,United States,US,Games,119.0,34.0,8.0,127329000.0,31800.0,509300.0,382000.0,6100000.0,100000.0,2012.0,May,26.0,3697255.0,270550.0,11.0,576.65,0.627,0.2841,macro,576.65,499.1,0.627,0.2841,27.9,127329000.0,2.12,85.1,Gaming,63.9,83.9,53.3,False,False,False,False,False,0
112,Ryan's World,35200000,55299840198.0,Entertainment,Ryan's World,2453,United States,US,Entertainment,15.0,35.0,32.0,238613000.0,59700.0,954500.0,715800.0,11500000.0,200000.0,2015.0,Mar,17.0,22543759.0,507100.0,8.0,1571.02,0.431,0.5682,macro,1571.02,306.6,0.431,0.5682,27.8,238613000.0,2.13,76.5,Entertainment,66.4,88.4,74.0,False,False,False,False,False,0
113,Genevieve's Playhouse - Learning Videos for Kids,34900000,25607397308.0,Education,Genevieve's Playhouse - Learning Videos for Ã¯Â¿Â½,617,United States,US,Film,69.0,36.0,7.0,335307000.0,83800.0,1300000.0,1000000.0,16100000.0,300000.0,2016.0,Jan,6.0,41503075.0,691900.0,7.0,733.74,1.309,0.8596,macro,733.74,88.1,1.309,0.8596,62.1,335307000.0,2.06,62.6,Film & Media,57.9,83.6,69.7,False,False,False,False,False,0
114,T-Series Apna Punjab,34600000,21306315429.0,Music,T- Series Apna Punjab,0,,,News,4057944.0,,4653.0,,0.0,0.0,0.0,0.0,,2020.0,Jul,9.0,,0.0,3.0,615.79,,,macro,615.79,0.0,,,,,,6.7,News & Current Affairs,,,,True,True,False,True,False,3
115,Techno Gamerz,34400000,9690499664.0,Gaming,TechnoGamerz,1,,,Games,4057311.0,,7489.0,86.0,0.02,0.34,0.26,4.0,3.0,2010.0,May,19.0,9690499664.0,0.0,13.0,281.7,0.0,0.0,macro,281.7,0.1,0.0,0.0,3.6,86.0,0.0,57.8,Gaming,16.0,51.1,42.4,False,True,False,True,False,2
116,Geet MP3,34300000,12746535822.0,Music,Geet MP3,679,India,IN,Music,299.0,31.0,41.0,101357000.0,25300.0,405400.0,304100.0,4900000.0,100000.0,2016.0,Oct,22.0,18772512.0,215350.0,7.0,371.62,0.795,0.2915,macro,371.62,97.0,0.795,0.2915,33.3,101357000.0,2.12,63.9,Music,39.8,72.1,44.4,False,False,False,False,False,0
117,J Balvin,34100000,23005313609.0,Music,J Balvin,141,Colombia,CO,Music,89.0,2.0,42.0,128696000.0,32200.0,514800.0,386100.0,6200000.0,100000.0,2011.0,Feb,18.0,163158253.0,273500.0,12.0,674.64,0.559,0.2933,macro,674.64,11.8,0.559,0.2933,25.3,128696000.0,2.13,61.5,Music,37.3,74.9,61.5,False,False,False,False,False,0
118,Jess No Limit,34000000,3963007415.0,Entertainment,Jess No Limit,2284,Indonesia,ID,Entertainment,1882.0,1.0,33.0,547141000.0,136800.0,2200000.0,1600000.0,26300000.0,5500000.0,2017.0,Sep,7.0,1735117.0,1168400.0,6.0,116.56,13.806,16.1765,macro,116.56,380.7,13.806,16.1765,98.9,547141000.0,2.14,74.0,Entertainment,64.2,67.3,42.0,False,False,False,False,False,0
119,Jingle Toons,34000000,11351015824.0,Film & Animation,Jingle Toons,240,India,IN,Film,360.0,32.0,8.0,179903000.0,45000.0,719600.0,539700.0,8600000.0,600000.0,2013.0,Jan,24.0,47295899.0,382300.0,10.0,333.85,1.585,1.7647,macro,333.85,24.0,1.585,1.7647,74.5,179903000.0,2.13,61.2,Film & Media,43.6,71.0,56.7,False,False,False,False,False,0
120,VEGETTA777,33800000,15432929204.0,Gaming,VEGETTA777,7606,Spain,ES,Games,211.0,2.0,10.0,39094000.0,9800.0,156400.0,117300.0,1900000.0,,2008.0,Mar,2.0,2029047.0,83100.0,15.0,456.6,0.253,,macro,456.6,507.1,0.253,,,39094000.0,2.13,78.2,Gaming,,75.5,,False,False,False,False,False,0
121,Galinha Pintadinha,33800000,27274550757.0,Film & Animation,Galinha Pintadinha,66,Brazil,BR,Film,54.0,8.0,9.0,403508000.0,100900.0,1600000.0,1200000.0,19400000.0,200000.0,2006.0,Aug,30.0,413250769.0,850450.0,17.0,806.94,1.479,0.5917,macro,806.94,3.9,1.479,0.5917,54.6,403508000.0,2.11,64.8,Film & Media,47.4,79.6,70.4,False,False,False,False,False,0
122,SSSniperWolf,33700000,23492684419.0,Gaming,SSSniperWolf,3366,United States,US,Entertainment,83.0,37.0,35.0,210955000.0,52700.0,843800.0,632900.0,10100000.0,200000.0,2013.0,Jan,20.0,6979407.0,448250.0,10.0,697.11,0.898,0.5935,macro,697.11,336.6,0.898,0.5935,43.1,210955000.0,2.12,81.1,Entertainment,68.2,86.0,63.5,False,False,False,False,False,0
123,Desi Music Factory,33700000,10189027455.0,Music,Desi music factory,2,,,Music,4057699.0,,5775.0,,0.0,0.0,0.0,0.0,,2018.0,Apr,10.0,5094513728.0,0.0,5.0,302.35,,,macro,302.35,0.4,,,,,,12.9,Music,,,,True,True,False,True,False,3
124,Selena Gomez,33600000,13013567335.0,Film & Animation,Selena Gomez,188,United States,US,Music,288.0,38.0,43.0,115792000.0,28900.0,463200.0,347400.0,5600000.0,200000.0,2008.0,Feb,8.0,69221103.0,246050.0,15.0,387.31,0.89,0.5952,macro,387.31,12.5,0.89,0.5952,43.0,115792000.0,2.12,67.7,Music,36.5,69.4,54.1,False,False,False,False,False,0
125,Rajshri,33500000,14864294792.0,Music,Rajshri,3741,India,IN,Entertainment,222.0,34.0,36.0,272255000.0,68100.0,1100000.0,816800.0,13100000.0,500000.0,2006.0,Mar,24.0,3973348.0,584050.0,17.0,443.71,1.832,1.4925,macro,443.71,220.1,1.832,1.4925,75.5,272255000.0,2.15,87.9,Entertainment,71.7,83.1,61.0,False,False,False,False,False,0
126,Ch3Thailand,33500000,29611914495.0,Entertainment,Ch3Thailand,96214,Thailand,TH,Entertainment,41.0,3.0,37.0,61307000.0,0.0,0.0,0.0,0.0,100000.0,2014.0,May,29.0,307771.0,0.0,9.0,883.94,0.207,0.2985,macro,883.94,10690.4,0.207,0.2985,15.2,61307000.0,0.0,87.2,Entertainment,72.3,83.8,54.1,False,False,False,True,True,2
127,KHANDESHI MOVIES,33500000,11405809704.0,Comedy,KHANDESHI MOVIES,217,India,IN,Comedy,357.0,35.0,4.0,24736000.0,6200.0,98900.0,74200.0,1200000.0,100000.0,2013.0,Nov,11.0,52561335.0,52550.0,10.0,340.47,0.217,0.2985,macro,340.47,21.7,0.217,0.2985,15.6,24736000.0,2.12,60.6,Comedy,27.1,60.9,43.9,False,False,False,False,False,0
128,NoCopyrightSounds,33400000,10530729078.0,Music,NoCopyrightSounds,1331,United Kingdom,GB,Music,402.0,3.0,44.0,55654000.0,13900.0,222600.0,167000.0,2700000.0,,2011.0,Aug,14.0,7911893.0,118250.0,12.0,315.29,0.528,,macro,315.29,110.9,0.528,,,55654000.0,2.12,60.6,Music,,69.0,,False,False,False,False,False,0
129,CVS 3D Rhymes & Kids Songs,33400000,20269857567.0,Education,CVS 3D Rhymes & Kids Songs,338,India,IN,Education,120.0,35.0,9.0,136084000.0,34000.0,544300.0,408300.0,6500000.0,200000.0,2008.0,Aug,26.0,59969993.0,289150.0,15.0,606.88,0.671,0.5988,macro,606.88,22.5,0.671,0.5988,37.0,136084000.0,2.12,70.7,Education,45.8,75.8,65.7,False,False,False,False,False,0
130,Ricis Official,33300000,5994136760.0,People & Blogs,Ricis Official,2736,Indonesia,ID,Entertainment,1043.0,2.0,34.0,157101000.0,39300.0,628400.0,471300.0,7500000.0,1900000.0,2016.0,Jan,15.0,2190839.0,333850.0,7.0,180.0,2.621,5.7057,macro,180.0,390.9,2.621,5.7057,89.6,157101000.0,2.13,76.1,Entertainment,64.8,67.8,46.0,False,False,False,False,False,0
131,BabyBus - Kids Songs and Cartoons,32800000,26355088167.0,Education,BabyBus - Kids Songs and Cartoons,2122,United States,US,Education,64.0,39.0,10.0,127498000.0,31900.0,510000.0,382500.0,6100000.0,200000.0,2016.0,Jul,15.0,12419928.0,270950.0,7.0,803.51,0.484,0.6098,macro,803.51,303.1,0.484,0.6098,31.1,127498000.0,2.13,74.4,Education,63.3,82.9,67.1,False,False,False,False,False,0
132,Eros Now Music,32700000,17853798780.0,Entertainment,Mzaalo,1521,India,IN,Entertainment,8055.0,730.0,838.0,20263000.0,5100.0,81100.0,60800.0,972600.0,40000.0,2012.0,Mar,14.0,11738198.0,43100.0,11.0,545.99,0.113,0.1223,macro,545.99,138.3,0.113,0.1223,11.9,20263000.0,2.13,76.1,Entertainment,51.9,70.8,55.0,False,False,False,False,False,0
133,BETER BÃ¯Â¿Â½Ã¯Â¿Â½,32700000,19180039918.0,,BETER BÃ¯Â¿Â½Ã¯Â¿Â½,2738,Turkey,TR,Games,137.0,1.0,11.0,1463000000.0,365900.0,5900000.0,4400000.0,70200000.0,2100000.0,2012.0,Dec,12.0,7005128.0,3132950.0,11.0,586.55,7.628,6.422,macro,586.55,248.9,7.628,6.422,97.5,1463000000.0,2.14,80.7,Gaming,80.7,87.4,72.9,False,False,False,False,False,0
134,DisneyMusicVEVO,32700000,28516250629.0,Music,DisneyMusicVEVO,2068,United States,US,Music,50.0,40.0,45.0,329861000.0,82500.0,1300000.0,989600.0,15800000.0,300000.0,2010.0,May,20.0,13789289.0,691250.0,13.0,872.06,1.157,0.9174,macro,872.06,159.1,1.157,0.9174,60.1,329861000.0,2.1,81.2,Music,72.4,87.2,75.9,False,False,False,False,False,0
135,The Weeknd,32600000,23379969006.0,Music,The Weeknd,169,Canada,CA,Music,85.0,3.0,45.0,373828000.0,93500.0,1500000.0,1100000.0,17900000.0,200000.0,2011.0,Feb,25.0,138343012.0,796750.0,12.0,717.18,1.599,0.6135,macro,717.18,14.1,1.599,0.6135,57.1,373828000.0,2.13,62.5,Music,48.4,79.0,67.0,False,False,False,False,False,0
136,WowKidz,32200000,16613441479.0,Film & Animation,wowkidz,2,,,Entertainment,4053139.0,,6723.0,1.0,0.0,0.0,0.0,0.05,,2006.0,Dec,16.0,8306720740.0,0.0,17.0,515.95,0.0,,macro,515.95,0.1,0.0,,,1.0,0.0,46.8,Entertainment,,56.4,,False,True,False,True,False,2
137,KAROL G,32100000,18699145555.0,Music,KAROL G,134,Colombia,CO,Music,140.0,3.0,46.0,465647000.0,116400.0,1900000.0,1400000.0,22400000.0,300000.0,2013.0,Mar,14.0,139545862.0,1008200.0,10.0,582.53,2.49,0.9346,macro,582.53,13.4,2.49,0.9346,73.9,465647000.0,2.17,58.1,Music,47.9,77.4,65.4,False,False,False,False,False,0
138,Mr Bean,32100000,10602236110.0,Shows,Mr Bean,3091,United Kingdom,GB,Comedy,400.0,4.0,5.0,56534000.0,14100.0,226100.0,169600.0,2700000.0,100000.0,2006.0,Jan,4.0,3430034.0,120100.0,17.0,330.29,0.533,0.3115,macro,330.29,181.8,0.533,0.3115,25.0,56534000.0,2.12,86.3,Comedy,51.1,71.0,42.0,False,False,False,False,False,0
